alf,wob,gndr_cd,lsoa2011_cd
709083536,1934-01-27,1,W51922237
787878246,2006-10-02,1,W80260718
360050157,1977-10-14,1,W61892314
231291750,1930-01-18,1,W75675645
616357982,1976-11-29,1,W52489844
165789911,1994-03-16,1,W85504400
529202758,2002-02-19,0,W84894031
616172203,2012-12-30,0,W99571714
978151444,1939-10-07,0,W58368854
324303114,1958-05-29,0,W01697979
908063360,1933-02-14,0,W38168587
947433167,2002-12-19,1,W19531609
216675262,2020-09-21,1,W62840480
984508490,2008-03-17,0,W97842981
455930682,1941-10-10,0,W59775429
347228610,1990-06-13,0,W83678805
310870803,1950-02-14,1,W99508724
221379891,1927-04-12,1,W75640618
857183048,1954-12-13,0,W46123585
663913807,1949-08-17,0,W73072772
917511855,1922-09-16,1,W89436996
713789427,1921-04-12,1,W05972193
504602329,1971-09-23,0,W50275850
747258586,1939-01-04,0,W35907042
259365132,1942-10-21,0,W71101831
734238544,2003-08-03,1,W60486758
751331536,2001-08-25,0,W95955647
717011635,1998-04-03,1,W99088774
274449182,1929-03-25,1,W37334987
558249622,2015-11-22,1,W11636155
548508978,1999-12-25,0,W23839163
351939395,1972-01-13,0,W17168390
171933618,1960-05-24,0,W82647263
943955235,1967-09-19,0,W09969289
420536130,1978-11-02,0,W92673719
602583169,1957-03-19,1,W91994296
934280117,1923-05-07,0,W28928779
794288995,1928-06-05,0,W82117537
630936369,1971-07-28,1,W48271187
939992892,1935-02-25,1,W88497103
338892143,1990-01-19,0,W63989058
906175061,1977-03-15,1,W80984106
201478834,1976-11-27,1,W53562024
270707744,1929-02-15,0,W03024066
218942698,1962-10-07,0,W06410216
724881452,1934-06-23,0,W46072907
373285615,1943-08-07,1,W38436778
137652800,1984-10-05,0,W60217056
672582622,1963-07-19,0,W83073779
748423934,1996-02-05,0,W05598846
618913392,2016-04-14,0,W30823794
272460723,2010-10-25,1,W13074314
321402755,1958-11-22,0,W50949532
241161557,1948-05-05,0,W04107252
688330702,1999-01-12,1,W29844172
487780760,1930-06-30,1,W67785339
203719281,1979-12-13,1,W51469317
810057423,1954-10-26,0,W28698172
375531484,1998-10-15,0,W23132735
692878444,1987-11-16,0,W35869432
414565083,1941-08-27,1,W76395705
210701621,1961-05-07,0,W91024849
563388937,1956-05-02,1,W40125857
455394865,2009-09-07,1,W09097810
109358517,1958-05-30,1,W31490866
693841827,1927-09-22,1,W01595927
116102342,1961-03-07,0,W61640039
803404348,1955-04-07,0,W36641601
912348185,1985-07-05,1,W74284628
789151800,1975-03-15,1,W30928943
324288818,1940-12-20,1,W50486310
502517775,1975-04-19,0,W98773856
154850029,1997-11-26,0,W58363224
255306584,1988-10-19,0,W63693457
958194530,1967-05-18,0,W56742782
712496463,1979-12-11,0,W84738358
326774227,1944-12-29,0,W45989259
719014655,1956-07-11,0,W54338396
148886310,1941-11-27,1,W62114128
948991878,1976-12-24,1,W67820195
625770174,1979-07-12,0,W37657497
225840596,1957-11-22,1,W90390328
385457681,1940-12-22,1,W13628775
619625043,1931-11-13,0,W89190830
732716177,1934-01-14,0,W60061620
362513700,1942-04-21,0,W22842678
892867083,2002-06-18,0,W01441970
549568063,1962-02-13,0,W17760093
423033048,1929-04-27,0,W85299010
244629674,1934-02-03,1,W44946944
253919493,1944-06-19,0,W90879905
778442759,2012-04-20,0,W99981684
821505414,1934-07-05,1,W17201724
767434440,1969-04-12,1,W33809871
504830251,1936-01-06,1,W07456525
700367825,1991-03-28,0,W33296527
561899378,1999-06-02,0,W46125797
252868240,1963-08-07,1,W02243376
610699533,2007-07-31,1,W29811743
805102290,1993-01-29,0,W56682022
204161883,1967-06-01,0,W93979310
116434489,2009-06-24,1,W23722128
858494806,1956-03-24,0,W63713836
182257692,1975-01-23,0,W70382044
720398978,1980-12-05,1,W16110639
821399982,1942-08-08,0,W34145845
981040312,1941-07-10,0,W93521092
236120898,2014-10-28,1,W74215664
484584058,1957-08-27,0,W28782930
389860760,1951-08-08,0,W34469724
473283035,1930-02-23,0,W37784920
562685578,2020-09-09,0,W94480831
277177310,1986-03-29,1,W62901397
126734957,2011-01-18,0,W59581510
742294644,1945-12-31,1,W86426360
676592465,1972-07-09,1,W99331206
894782747,2020-05-21,1,W68551833
780871107,1991-09-03,0,W04548313
649075453,2019-12-07,0,W66386334
255343169,1989-01-23,0,W73237343
656938982,1935-06-23,0,W84164246
632775550,1920-07-05,0,W21836997
270572334,1973-06-08,1,W62494127
994195229,1953-07-03,1,W10087751
950108011,2003-09-11,0,W79985324
865084836,1965-01-05,0,W55958310
368574856,1985-02-08,0,W99791170
433276645,1926-12-10,0,W94037148
540326577,1987-10-02,1,W82139066
291272967,2006-05-03,0,W18176510
530011334,1966-11-13,1,W03979835
798890612,2019-11-29,0,W41243082
391498782,1988-01-01,0,W39859431
426130425,1991-07-29,0,W42984098
174562047,1984-08-13,1,W52571841
930124489,1939-06-29,0,W75098019
353766221,1984-04-03,0,W91049981
523398332,1934-10-29,0,W33467761
970961531,1953-08-11,0,W49511076
168096517,1955-02-21,1,W91385818
821854060,1972-09-08,1,W97384165
668201773,2003-10-20,0,W39643422
337460192,2014-09-17,1,W50731666
408320907,1991-11-17,0,W83951362
437950793,1999-09-21,0,W39369656
155682974,1929-01-09,0,W74213441
132590934,1928-05-17,0,W20772945
211705038,1981-11-23,0,W78884108
834678786,2012-12-20,1,W26754126
692795095,1950-04-29,1,W26234818
627445843,1950-04-18,0,W37581911
973736227,1963-12-16,0,W34855931
364581420,1957-03-13,0,W10383806
914833446,1937-06-17,1,W42578043
243345720,1941-05-29,0,W17353833
515963193,1967-09-08,1,W88563817
385596453,2012-05-21,0,W73099715
490324464,1988-05-28,1,W48568006
591132462,1986-04-15,0,W41476061
417119145,1963-12-16,1,W90152480
140115016,2015-09-09,1,W75084838
323172052,1936-03-01,1,W59959278
684193539,1956-01-26,0,W52295712
501549034,1953-06-03,0,W61473885
905115169,1939-08-17,1,W56190610
915460923,2015-04-09,1,W32869526
598809876,1928-06-02,0,W79807459
558831966,1949-11-27,0,W37629492
971042054,1921-06-17,1,W34835053
488938282,1970-06-15,1,W57733493
105008106,2014-06-28,1,W55249468
662261891,1947-08-19,0,W06517262
526435819,1929-03-22,1,W55654124
651937541,1990-12-25,0,W51389735
679350442,1949-09-30,0,W88886045
234845886,1931-06-11,0,W91079757
561771022,2003-09-08,1,W21197574
174960796,1937-03-13,1,W79076741
814353655,1953-07-27,1,W89355920
425708489,1982-08-01,0,W19499128
819929699,1988-11-23,0,W52888520
886297550,1996-05-09,0,W35089887
196187651,1943-01-19,0,W95848535
691174471,1943-08-30,1,W71804645
604075411,2002-07-14,1,W84390245
304456603,2013-12-15,0,W97815524
390141015,1970-01-12,1,W94439597
470717923,1932-06-15,0,W98677187
904145436,1940-11-11,1,W08261154
277364694,1991-10-04,0,W34356916
143397877,1994-02-28,0,W13592704
399126337,1963-09-05,0,W01509499
126341903,2020-07-22,0,W90062397
737100782,1922-03-15,1,W38265856
952601147,1987-04-02,1,W59388498
832964697,1991-09-02,1,W60998283
610170764,1978-11-02,1,W23193721
264524719,2017-01-26,0,W54032456
381082790,2020-10-14,0,W02513860
835366773,1956-12-25,0,W80355691
776056264,1941-12-30,1,W46273114
157178526,1990-09-05,1,W79952983
734324757,1990-10-17,1,W05739121
907455846,1930-11-13,1,W05955722
415005035,1970-06-05,1,W87790551
271966042,1971-07-28,1,W07460282
548771455,1973-07-27,1,W15351478
398724191,1950-02-14,0,W18217387
942755054,1951-04-10,0,W87711241
809761758,1975-05-31,1,W53385876
865256052,1989-12-22,1,W96447883
218115610,1978-12-23,0,W28131575
855762642,2009-06-30,0,W55830499
776555484,2000-07-08,1,W39074393
444593631,1983-11-23,1,W37333904
224110999,1980-07-13,0,W17587346
160504116,1993-05-21,1,W25946449
354498852,1934-01-09,1,W20202531
713190210,1924-02-24,0,W55036871
922352381,1969-05-20,1,W04541279
720419258,1951-04-01,0,W57252460
726015432,1974-04-18,0,W15549424
678267211,1966-10-20,0,W54360580
959046840,1951-01-29,1,W18404847
701241845,1965-01-01,1,W32329863
505936766,2004-05-03,1,W01648922
651882134,1999-09-06,0,W87142223
828196225,1990-11-20,1,W80886236
682054777,2018-02-01,1,W08853527
652017961,2006-02-01,0,W36702427
771609269,1992-11-23,1,W47727725
653248271,2009-02-14,1,W15092205
485586190,1938-04-11,1,W48917496
525649330,1951-08-10,1,W84649506
171631302,1961-10-04,1,W56132657
986463448,2018-01-01,1,W74352440
271538073,1931-02-22,1,W06708063
794242973,1947-01-16,0,W77968429
389082703,1926-10-27,0,W50285786
568015703,1964-04-23,0,W89764364
569450983,1998-06-18,1,W30069217
812351804,1972-12-31,1,W08102305
654702951,2010-10-07,1,W67617581
299553917,1993-11-10,0,W83329264
137968432,2020-10-17,0,W06552688
487577690,1982-07-09,1,W41502869
212800769,1924-10-03,0,W24486980
617411167,1963-01-11,1,W01714478
208015923,2002-08-12,0,W38800510
699753096,2003-04-01,0,W60943952
123929033,1985-03-23,0,W53290350
703855333,1956-02-23,1,W88987735
699129167,1936-10-21,0,W82350324
986707132,1957-06-07,0,W15552274
153408970,1920-05-18,0,W87053380
220980435,1968-01-24,0,W85656949
933317600,1952-04-22,1,W38177022
447696756,1996-12-13,1,W78888095
761081307,1937-11-07,1,W64108330
127019533,2012-07-26,0,W50199313
323964608,1954-10-08,1,W43753063
681251826,1971-06-13,0,W99948881
118810682,1994-06-30,0,W24057624
412538829,1997-05-23,1,W80030713
452836973,2011-07-07,0,W01503094
459221511,1995-01-11,1,W91680414
464962033,1959-08-20,0,W21857513
512927450,1949-07-19,1,W67238138
857391041,2011-06-20,0,W59983387
628171394,1994-06-20,1,W18540535
497066398,2020-01-01,0,W59103865
119190773,1981-03-26,1,W45343000
124014013,1944-01-08,0,W68826564
918683265,2019-06-05,1,W28592842
729764722,1963-11-08,1,W29547714
904169559,1991-08-03,0,W96505534
858298418,2015-01-17,0,W27605720
536447053,1985-08-20,0,W44629766
318280048,1940-08-09,0,W22887385
795868654,2009-07-17,1,W79544388
848362364,1984-04-10,0,W32126122
784613165,1961-02-15,1,W46810963
624986300,1936-10-12,0,W64143119
975836440,1992-07-08,0,W48974186
361259808,1974-05-30,0,W74515589
206701326,1920-02-16,1,W13518057
925010121,1927-03-11,0,W33750300
892298962,1992-01-17,0,W99982769
485057211,2015-06-25,0,W21508383
693109608,1920-06-04,0,W77225579
563342442,2014-08-10,1,W43309083
677358724,1981-05-24,0,W88852658
172465983,1999-07-01,0,W04024312
209710217,1997-12-10,0,W22893124
811044464,1948-11-21,0,W12737788
983232796,2009-06-13,1,W56746359
654697485,2018-05-26,0,W77672526
433531613,1993-09-09,0,W38771196
882314370,1943-08-19,1,W95702751
810791459,1960-01-07,1,W08016859
972661838,2018-09-03,0,W51520757
145724831,1940-10-17,0,W58439399
141628327,1950-01-22,1,W59090241
442737020,1928-01-06,1,W03393149
711170469,1993-08-23,1,W43094367
114139635,1923-05-12,0,W43895893
820806511,2017-09-03,0,W66478290
326192389,2009-06-06,0,W03173908
809498857,2005-05-31,1,W52478372
650491171,1950-08-21,1,W67901718
398026022,1993-02-28,0,W43575767
194860961,1944-06-06,0,W25959455
612370787,1974-04-10,0,W93505220
607193004,1926-08-12,1,W34698149
899055787,1943-02-02,0,W57287329
125669680,2002-10-08,1,W79958300
401572306,1973-02-27,0,W73090636
784637345,1999-08-29,0,W14802099
692973457,1940-11-20,0,W14277667
302710590,1981-10-26,1,W62025783
670405696,1994-10-23,1,W76631298
411030196,1930-11-20,0,W22292652
690460073,1990-12-15,1,W77432590
159454448,2013-07-22,0,W08104240
909387021,2004-03-11,0,W80476101
513224757,1934-08-13,0,W59786118
314474089,1947-06-22,0,W67006064
921813487,1961-06-18,0,W48457910
440733754,1952-09-29,1,W87926922
229587764,1932-12-09,0,W76191809
143780863,1987-07-10,0,W65791925
201974899,2018-08-26,1,W34200796
886943414,1920-01-10,0,W43484925
563544989,1962-01-13,1,W28138984
136570893,1995-10-27,1,W65324668
654841292,1953-01-25,0,W58185347
537860454,1967-07-06,1,W54795108
212358983,1965-01-15,1,W05006323
213102758,1984-01-20,1,W79448110
600396980,2010-11-08,1,W33631839
914253188,1968-07-31,0,W08637280
599688526,1957-08-09,1,W06786029
594219478,1981-10-07,0,W61907983
381304545,1996-07-18,1,W91823053
719301369,1935-01-06,0,W64082466
955804737,1966-08-05,1,W31262304
507994272,1971-10-30,0,W33458085
510491185,1992-03-31,1,W18780741
942432134,2002-12-12,0,W84793207
596327820,1945-12-14,0,W74654120
810761827,2015-02-17,1,W20111582
502819691,1991-10-16,1,W13453330
392601464,1987-03-16,0,W55930614
430611080,1999-10-12,1,W71052378
935312773,1962-01-02,0,W66896974
721078247,1949-08-07,0,W40365788
293554053,1962-03-19,1,W19779834
726641184,2012-10-30,1,W00310908
754363300,1967-07-12,0,W37422654
708970663,2018-12-29,0,W30500093
859995768,1992-11-24,1,W14838414
616789505,2015-08-19,0,W60086314
232612071,1953-04-13,1,W82701679
985168592,2002-08-24,0,W38555804
731671437,1937-07-25,0,W44973479
622940790,1936-05-28,1,W08984123
477184102,1924-11-08,1,W45161267
617434837,2000-02-16,1,W28188218
395162574,2014-01-03,0,W30403124
240048485,1989-06-11,1,W06664662
756874099,1922-04-09,0,W48337675
717498027,1970-07-07,0,W03701436
516100140,1928-10-30,1,W07112217
629234553,1925-09-29,1,W49962657
559753692,1966-05-21,1,W77626643
806814655,1933-08-19,0,W52776339
712374012,1934-05-10,1,W09043130
568538402,1979-03-04,1,W07084023
302340798,1964-02-28,1,W87919129
194301642,2005-11-17,1,W97638143
900908412,2013-03-09,0,W38329334
301176133,2019-04-23,1,W59086101
444337089,1999-05-13,0,W22826729
970083834,1990-01-04,0,W05232811
207995957,1930-08-10,1,W21520358
379426277,2015-03-18,1,W95085016
606437823,1928-04-23,1,W83267169
851660545,1948-11-12,1,W40842594
261950539,1984-11-15,0,W68316294
977027334,1973-11-16,1,W82655625
721026090,1945-03-31,0,W17469490
348782455,2015-01-08,0,W80348270
833351073,1962-10-01,1,W01169678
684733825,1965-07-21,1,W51503718
220250261,1953-05-13,1,W54292865
526438357,1961-06-12,0,W62270677
434706166,1975-09-07,1,W71245117
578461115,1964-11-25,1,W56079031
970175394,2020-03-01,1,W59491172
890071302,1961-11-25,1,W61837523
409924881,1981-04-22,0,W05460666
176004752,2014-04-13,0,W40119399
247027637,1955-11-02,1,W89875189
946251027,2016-02-28,1,W66293757
609282804,1961-02-13,1,W70620982
189859308,2019-12-16,1,W50482416
121235965,1947-09-19,0,W46338733
810037954,1992-06-20,0,W26931036
422915994,2014-06-29,1,W26364704
345579761,2008-07-05,1,W84423557
131451346,1959-07-19,1,W90001041
420483699,1933-04-03,1,W08438119
887028040,2008-08-29,0,W76591230
253845494,2015-07-27,1,W44481579
442418744,1925-06-05,1,W40580055
970149784,1996-09-20,1,W09365334
782955012,2002-08-17,0,W97521430
869440445,2018-04-26,1,W92908037
552666761,1950-04-07,1,W98949510
487666603,1931-06-20,1,W60420036
111994483,1934-11-09,1,W32165243
953119786,1956-02-05,0,W27608869
977555331,2007-06-11,0,W81910847
651111149,1987-10-23,0,W05176046
401063819,1948-10-06,1,W45773410
488166493,1988-01-14,1,W43809726
241170426,2003-02-23,0,W02929116
623983213,1956-12-16,1,W87186313
860084081,1988-07-04,0,W98792658
376923663,1924-08-10,0,W46308981
951682175,2013-12-28,0,W90416901
168657553,1957-07-03,1,W03739944
571133264,1930-09-27,1,W62138849
820477794,1983-04-14,0,W33286191
802059837,2006-02-07,0,W54960111
978175731,1998-07-04,1,W05478959
182879591,1954-02-18,0,W64497321
543867151,2001-02-01,0,W28771324
245248195,1936-05-04,1,W73272115
136437125,1952-07-09,0,W91202953
145809013,1994-12-30,0,W30107845
294651693,1987-08-17,0,W80386996
384606311,1948-12-19,1,W47445966
564169996,1956-11-20,1,W13903076
523003341,1979-01-01,1,W98433288
593178552,1947-03-28,1,W72196604
929358779,2005-12-11,1,W95228197
656195083,1978-03-02,1,W66140028
677282546,1945-01-09,0,W56400819
376185084,1939-02-22,1,W66724291
618907025,1974-08-19,1,W08565764
972637134,1958-08-03,1,W27125528
887670486,1929-07-19,1,W19450688
382260880,1987-09-25,1,W53044057
700914573,1948-06-06,1,W15038958
685684536,1942-01-16,1,W60383303
508463182,1956-04-16,0,W02552630
477730105,1980-07-04,0,W11742140
769913083,2008-10-21,1,W14215977
466535238,1958-02-04,1,W01251364
251255780,1958-02-09,1,W96786008
295296378,1957-04-23,0,W64711159
535177589,1982-09-29,1,W90655629
551200229,2014-09-26,0,W06679304
709804009,1943-08-18,1,W79573769
110879375,1978-12-21,0,W82476460
681819833,1941-06-11,1,W54204492
765181135,1945-09-29,1,W04715614
618249095,1930-01-23,1,W22598645
130448493,2002-09-11,0,W24627453
428296005,1961-06-28,0,W06538665
363535535,1952-10-01,1,W33347913
218866189,1959-09-16,1,W79733962
255130523,1965-10-27,1,W38327230
606891823,2008-10-31,1,W04771940
362272341,1945-04-13,1,W48809682
268952098,1948-06-29,1,W35224195
129881672,1938-03-31,1,W08188907
994050529,1946-04-30,1,W08229668
749699261,1994-05-19,0,W69735675
247367884,2012-10-23,0,W63963909
275478341,1989-07-21,0,W10801058
517073701,1926-08-29,1,W41316765
879624105,1940-11-06,0,W00625493
892502386,2011-01-19,0,W86659451
483882119,1969-07-21,0,W65139755
466306705,2013-06-12,1,W96511468
691231952,1996-09-02,1,W83700058
816353810,2012-03-03,1,W06362414
740844634,1975-03-29,1,W70520394
728131207,1957-08-24,1,W00378663
347676427,1947-07-03,0,W27480040
348930967,2013-07-19,1,W33059291
576281448,1977-07-04,1,W83135792
144539170,1945-08-24,1,W19780757
634608489,2013-09-08,1,W19175411
438012329,2012-01-23,0,W29059556
666355656,1955-06-03,0,W13210450
817250413,1921-03-18,1,W98703213
834019775,1934-04-16,0,W82674618
169264729,2001-12-18,0,W53132887
722837167,1978-03-21,0,W74617473
997174532,1938-06-29,1,W33521481
709294988,2000-10-02,1,W24788853
758638840,1981-02-23,1,W37469617
436056492,1991-02-16,1,W78162469
588953585,1938-02-21,0,W47066626
489995825,1939-08-22,1,W00139219
847579668,1951-06-04,0,W04883880
708620292,1937-01-08,0,W71124606
706499332,1924-03-31,0,W27851728
860935822,1938-10-20,0,W82086387
151474603,1963-11-11,1,W13262806
420024434,1952-08-23,1,W42038609
833450262,1982-09-08,1,W46307642
734595787,1965-03-26,0,W33007164
324815275,1929-01-25,0,W03905204
234758828,2016-03-06,1,W94748303
297306499,1931-01-18,0,W38068288
960518531,1928-06-25,1,W59293218
972221030,1967-06-05,1,W18431455
937503891,2004-06-12,0,W33443484
754969589,1941-07-02,1,W54955604
964586803,1948-08-02,0,W03781147
951232491,1959-09-15,0,W54662803
138841768,2012-01-17,1,W92296410
917364360,1956-10-13,1,W92688089
629399924,2004-06-08,0,W03169483
571220602,1939-03-18,1,W64781682
192464768,1926-05-06,1,W96717002
638569134,1953-08-26,0,W03650825
832778536,1925-02-18,0,W76939017
847830925,2017-05-17,1,W79174084
557227609,1969-08-21,1,W19323589
256403036,1998-01-03,1,W95023332
882814055,1970-09-28,1,W25986565
591264573,1923-02-10,0,W06339851
521629563,1983-11-18,0,W70330525
962870898,2015-03-10,0,W04866857
330025967,2006-06-29,1,W59935472
469300467,1931-02-23,0,W44662214
680090381,1936-08-01,1,W51598057
115616755,1935-06-12,1,W55892550
585430923,2005-02-16,0,W60161832
967829287,1928-05-03,0,W19172117
483374811,1955-05-06,0,W87859635
766858698,2017-08-19,0,W22974120
212590621,1949-12-29,1,W45042104
348929182,1971-08-21,1,W19658788
892197559,1980-02-20,0,W88944282
940808006,1991-10-30,1,W08927378
683749191,1946-03-30,0,W62369061
785190429,1957-06-30,0,W58524507
360507684,1935-05-21,1,W70014765
692039789,1972-05-21,1,W15997954
193533832,2012-10-08,1,W10086451
375161916,2002-04-19,1,W97072494
615323617,1943-08-12,0,W19598402
599398184,1936-04-10,0,W16243412
271198951,2017-06-19,0,W17720587
448574394,1984-05-09,1,W47578165
925126916,1988-03-10,0,W25235214
727886060,1970-05-13,1,W27539052
454749372,2000-08-15,1,W67440386
563506929,2015-01-06,0,W92390510
196534940,2003-08-27,0,W53051331
556348307,1970-03-16,1,W21027301
802401900,1959-11-16,1,W82612220
869845318,2001-11-02,1,W19275114
459595828,1963-03-12,0,W78013428
479640916,1963-11-14,1,W84196481
161913583,1974-04-08,0,W34333094
886761439,2014-10-22,0,W94792836
641086353,1947-03-19,1,W06829387
204918632,2007-01-28,0,W63354424
121472381,2004-09-10,0,W17420742
755648670,1968-07-12,1,W36619560
336019837,1973-10-03,0,W46606905
850934971,2008-10-29,0,W60022404
797360135,1950-12-04,1,W94605765
693160591,1941-06-22,1,W57044144
388915835,1955-04-15,0,W68601264
433253613,2014-07-27,1,W98472914
402973134,1937-05-26,0,W75040996
489982495,1949-11-20,1,W01494543
576987915,1996-11-30,0,W01543722
247622391,1985-04-24,0,W26795471
588442704,1964-08-02,0,W21168580
525429097,1982-04-17,0,W69374803
860339084,1952-08-18,1,W14021918
695658033,1975-05-05,1,W14608207
159619181,1986-12-20,0,W65555332
471487507,2004-03-03,1,W67352230
978394164,1923-05-12,0,W40566984
985066579,1952-02-26,1,W82763332
152666867,2019-07-28,1,W09176819
127782857,1930-12-26,1,W41333504
227223063,1971-10-08,1,W47957759
861299256,1973-08-11,0,W05932058
319201046,2000-11-25,0,W74497338
414834610,1968-10-22,0,W65478530
907335668,1993-03-15,0,W82795524
586510751,1940-08-19,1,W43489223
189604766,1975-11-21,0,W28746438
659601284,1998-08-13,0,W77407037
245547762,1975-06-05,1,W58941270
144692226,1926-10-15,1,W67671157
771292901,1997-07-10,0,W86125184
522879586,1954-10-05,1,W91541248
212835674,2013-09-22,1,W18757528
767396968,1943-06-22,0,W65788153
510147517,1964-07-13,1,W78965873
371301710,2006-01-09,0,W76266279
691968255,1992-02-14,1,W81115331
775153964,1932-04-14,1,W95151127
588129403,2014-01-08,0,W71216586
435306863,1951-07-03,0,W92677190
333693780,1961-02-03,0,W87062121
133091952,1969-05-15,0,W28447326
872358546,2013-07-26,0,W86524558
834526772,1950-11-27,1,W83346124
173902719,1983-12-29,0,W77810558
814368881,1995-12-14,0,W68699796
419293441,1959-10-30,1,W16451315
210263670,1985-06-30,0,W24245727
928193908,2017-08-16,0,W62525448
397477144,2015-12-06,0,W97458216
811872932,1956-02-07,1,W53374278
157324127,1974-07-26,0,W58837401
621916898,1989-02-19,0,W72965483
707497023,1971-06-11,1,W16933369
786299330,1932-02-22,0,W04635169
574916227,2014-04-24,1,W15265273
596187557,1974-09-06,0,W99966976
574337943,1946-08-26,0,W21767851
701370126,1965-02-17,0,W27085813
863567623,2002-07-02,1,W70254118
533338451,2007-08-08,0,W94507032
795192616,1982-11-20,0,W79282483
629611563,1942-07-31,1,W88765673
194411826,1998-05-06,0,W61404520
157746117,1948-08-04,0,W28363754
759266935,1964-06-12,1,W54650770
240841126,1953-04-15,1,W63767345
602001563,1955-10-15,0,W56224912
594673884,1922-05-14,0,W72932845
453227663,2006-08-15,0,W79697266
513075851,1920-09-08,0,W07494448
285398329,1975-01-02,0,W27673747
509083748,2006-05-03,1,W59799066
672495378,1938-11-04,0,W20917994
252203464,1939-08-17,1,W15172621
851080463,1971-03-23,0,W64733923
385173111,2018-07-31,1,W23182488
299290636,1992-02-13,1,W85791676
669181873,1953-10-19,1,W74563479
126869696,1968-07-08,1,W31694608
899184652,1958-01-24,1,W87848584
741828676,1958-03-03,1,W68017170
187182576,1956-04-26,1,W71673016
198195201,1993-11-03,1,W68545751
558095046,1928-08-28,0,W42694816
154398332,1994-06-19,1,W14045011
523894549,1981-09-11,1,W86858348
664830988,2004-12-06,1,W66979610
714852233,1994-12-17,0,W85961585
876839343,1945-03-28,0,W48575438
581538450,1929-02-06,0,W41923106
166282506,1966-04-06,1,W90108880
216725276,1959-09-10,1,W07467169
307634858,1987-05-06,1,W90670559
967850364,1989-07-06,0,W60540390
583000474,1923-07-03,1,W26484123
475085440,1950-09-23,0,W53997074
478077951,1929-09-15,1,W24328616
705627209,1967-01-23,1,W90834957
642999873,1973-10-08,0,W88640581
436079205,1945-05-14,1,W60233711
673974051,1997-10-20,1,W41769149
288602757,1964-09-27,0,W50383208
797094173,1970-05-04,0,W98935193
778583377,1964-12-19,0,W68263883
766053712,1942-12-20,0,W32884878
324659541,1952-08-04,1,W48896249
994938903,2004-11-14,0,W22364026
826616385,2002-11-16,0,W93032226
141152638,2014-09-28,0,W23474840
234314759,1957-04-15,0,W73957165
576137928,1938-04-07,1,W82693326
768307351,2004-10-04,0,W18975625
624846163,1943-11-26,0,W89287715
570981542,2008-10-19,1,W66955799
865510848,1955-10-28,1,W99518225
968244036,1924-11-15,1,W38981299
559865661,1965-04-13,0,W01034939
547073856,1971-12-28,1,W83397699
607875441,1974-01-15,1,W96165203
426152086,1997-06-15,0,W64888619
174305467,1990-03-03,1,W90655878
370159264,1954-07-22,0,W23789794
723700946,1957-01-11,1,W66172152
767658506,1944-10-28,1,W79795089
442066476,1969-05-16,0,W44193872
574897395,1926-02-09,1,W60241135
506019375,2019-11-20,1,W96782928
251469563,1977-06-19,1,W66767916
